table,dataset,N,N_indexed,pattern,frac,metric,baseline,n_pairs,lethe_mean,baseline_mean,mean_diff_lethe_minus_baseline,ci_low,ci_high,p_raw,p_holm,effect_size,effect_size_type,test,analysis_scope,metric_family,appendix_destination,attribution_policy,effect_size_note
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,hub,0.5,recall10_vs_exact_topk,Tombstone,10,0.9722054,0.9350194,0.037186,0.03469209,0.03998594,8.4273188e-10,6.222064123e-09,1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,bridge,0.5,scored_leakage,Tombstone,10,0.0,0.32202558,-0.32202558,-0.3274203,-0.31662582,2.126422696e-15,7.229837165e-14,-1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,bridge,0.5,drift10_vs_oracle_rebuild,Tombstone,10,0.011829,0.2406409,-0.2288119,-0.23071695,-0.22695392,3.697726514e-18,1.774908727e-16,-1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,bridge,0.5,recall10_vs_exact_topk,Tombstone,10,0.9710307,0.9367421,0.0342886,0.0319428,0.03645022,5.120647998e-10,4.608583198e-09,1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,random,0.5,scored_leakage,Tombstone,10,0.0,0.19419421,-0.19419421,-0.19960839,-0.18874986,2.249736183e-13,3.824551511e-12,-1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,random,0.5,drift10_vs_oracle_rebuild,Tombstone,10,0.0054073,0.1251433,-0.119736,-0.1230111,-0.11641528,1.83521176e-13,3.348087856e-12,-1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,random,0.5,recall10_vs_exact_topk,Tombstone,10,0.9793635,0.9470998,0.0322637,0.02943576,0.03494443,3.729314477e-09,1.243406662e-08,1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,cluster,0.5,scored_leakage,Tombstone,10,0.0,0.26663895,-0.26663895,-0.2707378,-0.2626718,9.765275355e-16,3.808457388e-14,-1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,cluster,0.5,drift10_vs_oracle_rebuild,Tombstone,10,0.0099422,0.177096,-0.1671538,-0.1693567,-0.16490453,2.63486583e-16,1.159340965e-14,-1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,cluster,0.5,recall10_vs_exact_topk,Tombstone,10,0.979024,0.9463059,0.0327181,0.03088204,0.03464623,1.078986936e-10,1.402683017e-09,1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,hub,0.5,scored_leakage,Tombstone,10,0.0,0.31519181,-0.31519181,-0.31965233,-0.31044462,5.243415699e-16,2.202234594e-14,-1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,hub,0.5,drift10_vs_oracle_rebuild,Tombstone,10,0.0117879,0.2234262,-0.2116383,-0.21412483,-0.20934372,6.940839285e-17,3.192786071e-15,-1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,hub,0.5,recall10_vs_exact_topk,Tombstone,10,0.9790872,0.9455827,0.0335045,0.03178651,0.03547195,1.088193397e-10,1.402683017e-09,1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,bridge,0.5,scored_leakage,Tombstone,10,0.0,0.31696164,-0.31696164,-0.32195779,-0.31250384,7.217017244e-16,2.886806898e-14,-1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,bridge,0.5,drift10_vs_oracle_rebuild,Tombstone,10,0.014008,0.2428301,-0.2288221,-0.23260175,-0.22523586,1.320918815e-15,4.755307734e-14,-1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,bridge,0.5,recall10_vs_exact_topk,Tombstone,10,0.9792044,0.9452003,0.0340041,0.0315302,0.0364641,7.777580154e-10,6.222064123e-09,1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
